stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening /etc/allegro5rc r
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening /home/marc/allegro5rc r
stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening /home/marc/PROJECTS/Eagle/EagleGUI/cbbuild/bin/allegro5.cfg r
system   I            xsystem.c:212  xglx_initialize                  [   0.00000] XGLX driver connected to X11 (The X.Org Foundation 11901000).
system   I            xsystem.c:214  xglx_initialize                  [   0.00000] X11 protocol version 11.0.
system   I            xsystem.c:228  xglx_initialize                  [   0.00000] events thread spawned.
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.3 (GIT)
PulseAudio D         pulseaudio.c:123  pulseaudio_open                  [   0.00416] PA_CONTEXT_READY
audio    I              audio.c:334  do_install_audio                 [   0.00448] Using PulseAudio driver
keyboard I          xkeyboard.c:741  x_keyboard_init                  [   0.00470] Using X Input Method.
keyboard D          xkeyboard.c:744  x_keyboard_init                  [   0.00473] Old locale: C
keyboard D          xkeyboard.c:771  x_keyboard_init                  [   0.05139] Restoring old locale: C
keyboard I          xkeyboard.c:796  x_keyboard_init                  [   0.05146] Input method style = 1032
keyboard I          xkeyboard.c:810  x_keyboard_init                  [   0.05149] XCreateIC succeeded.
keyboard I          xkeyboard.c:565  _al_xwin_get_keyboard_mapping    [   0.05156] 248 keys, 7 symbols per key.
keyboard D          xkeyboard.c:603  _al_xwin_get_keyboard_mapping    [   0.05158] key [8: NULL NULL] not assigned.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05159] key [9: Escape NULL] assigned to 59.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05161] key [10: 1 exclam] assigned to 28.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05163] key [11: 2 at] assigned to 29.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05165] key [12: 3 numbersign] assigned to 30.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05166] key [13: 4 dollar] assigned to 31.
keyboard D          xkeyboard.c:616  _al_xwin_get_keyboard_mapping    [   0.05167] key [14: 5 percent] assigned to 32.
